name,price,package_size,serving_size,calories_per_serving,calculated_calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Added Sugars,Protein,Vitamin D,Calcium,Iron,Potassium,Polyunsaturated Fat,Monounsaturated Fat,Vitamin A,Vitamin C,Insoluble Fiber,Soluble Fiber,Thiamin,Riboflavin,Niacin,Vitamin B6,Folate,Folic Acid,Vitamin B12,Zinc,Pantothenic Acid,Phosphorus,Calories from Fat,Trans Fat 0g,† As prepared with unsalted butter and salt.,Added SugarsƗ,Ɨ One  serving adds 16g of sugar to your diet and represents  32% of the Daily Value for Added Sugars
Sugared Rice Cracker Stars,$1.99,6.35 Oz,28 g,110.0,104.0,0 g,0 g,0 g,0 mg,160 mg,25 g,0 g,9 g,9 g,1 g,0.0 mcg,0 mg,0.0 mg,10 mg,,,,,,,,,,,,,,,,,,,,,
Shishito Crisps,$2.99,1.05 Oz,30 g,200.0,192.0,16g,4g,0g,0mg,25mg,10g,6g,1g,0g,2g,0mcg,30mg,1.3mg,380mg,,,,,,,,,,,,,,,,,,,,,
Phyllo Crisps,$2.99,2.8 Oz,32 g,410.0,394.0,22 g,5 g,0 g,50 mg,45 mg,42 g,4 g,26 g,23 g,7 g,0.0 mcg,40 mg,0.0 mg,260 mg,,,,,,,,,,,,,,,,,,,,,
French Onion Popcorn,$2.69,5 Oz,30 g,180.0,182.0,14 g,6 g,0 g,0 mg,280 mg,12 g,2 g,1 g,1 g,2 g,0.0 mcg,20 mg,0.4 mg,60 mg,,,,,,,,,,,,,,,,,,,,,
Festively Shaped Pretzels,$0.99,12 Oz,30 g,120.0,117.0,1.0 g,0 g,0 g,0 mg,280 mg,24 g,1 g,1 g,0 g,3 g,0.0 mcg,10 mg,1.5 mg,50 mg,,,,,,,,,,,,,,,,,,,,,
Elevated Cracker Assortment,$7.99,12.7 Oz,30 g,110.0,149.0,5 g,3 g,0 g,15 mg,640 mg,22 g,1 g,11 g,2 g,4 g,0.0 mcg,30 mg,0.3 mg,130 mg,,,,,,,,,,,,,,,,,,,,,
Cheddar & Parmesan Cheese Snackers,$1.99,2.64 Oz,30 g,390.0,399.0,23 g,16 g,0 g,65 mg,850 mg,40 g,2 g,2g,0 g,8 g,0.0 mcg,110 mg,0.7 mg,110 mg,,,,,,,,,,,,,,,,,,,,,
Granny Smith Apple & Calvados Spirited Fruit Spread,$2.99,7.5 Oz,15 g,35.0,32.0,0 g,0 g,0 g,0 mg,5 mg,8 g,0 g,8 g,7 g,0 g,0.0 mcg,0 mg,0.0 mg,0 mg,,,,,,,,,,,,,,,,,,,,,
Mini Mushroom Tartelettes,$5.49,9 Oz,85 g,940.0,963.0,63 g,36 g,1.5 g,165 mg,1430 mg,75 g,5 g,5 g,2 g,24 g,0.9 mcg,280 mg,5.5 mg,540 mg,,,,,,,,,,,,,,,,,,,,,
Garlic Gondolas,$3.99,8.8 Oz,125 g,680.0,672.0,16 g,6 g,0 g,25 mg,1430 mg,113 g,4 g,10 g,2 g,19 g,0.0 mcg,90 mg,2.0 mg,300 mg,,,,,,,,,,,,,,,,,,,,,
Chao Tôm,$5.49,9.88 Oz,90 g,130.0,130.0,6 g,2 g,0 g,60 mg,720 mg,11 g,3 g,7 g,2 g,8 g,0.0 mcg,70 mg,0.0 mg,110 mg,,,,,,,,,,,,,,,,,,,,,
Olive Tapenade Hummus,$3.49,10 Oz,28 g,50.0,51.0,3.0 g,0.5 g,0 g,0 mg,70 mg,4 g,1 g,0 g,0 g,2 g,0.0 mcg,10 mg,0.5 mg,40 mg,,,,,,,,,,,,,,,,,,,,,
Daisy Brand Sour Cream,$3.99,16 Oz,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walker's Milk Chocolate Salted Caramel Shortbread,$4.49,5.3 Oz,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
German Iced Gingerbread Soft Spiced Cookies,$1.99,7.05 Oz,33 g,150.0,150.0,6 g,4.0 g,0 g,25 mg,60 mg,22 g,2g,10 g,10 g,2 g,0.1 mcg,10 mg,0.4 mg,30 mg,,,,,,,,,,,,,,,,,,,,,
Soft Italian Nougat,$2.49,2.81 Oz,27 g,360.0,370.0,14 g,2.0 g,0 g,0 mg,15 mg,55 g,4 g,50 g,46 g,6 g,0.0 mcg,50 mg,0.5 mg,220 mg,,,,,,,,,,,,,,,,,,,,,
Peanut Brittle,$3.99,7 Oz,30 g,150.0,148.0,8 g,3.5 g,0 g,10 mg,160 mg,17 g,2 g,13 g,12 g,2 g,0.0 mcg,0 mg,0.2 mg,60 mg,,,,,,,,,,,,,,,,,,,,,
Italian Confetti Almonds,$4.49,6 Oz,30 g,150.0,147.0,7 g,0.5 g,0 g,0 mg,0 mg,19 g,2g,18 g,17 g,2 g,0.0 mcg,20 mg,0.2 mg,70 mg,,,,,,,,,,,,,,,,,,,,,
Dark Chocolate Orange,$3.49,5.53 Oz,31 g,170.0,174.0,10 g,6 g,0 g,0 mg,0 mg,19 g,2 g,16 g,16 g,2 g,0.0 mcg,10 mg,4.0 mg,160 mg,,,,,,,,,,,,,,,,,,,,,
Crunchy Italian Amaretti Cookies,$2.99,3.5 Oz,36 g,160.0,152.0,4.0 g,0 g,0 g,0 mg,10 mg,27 g,2 g,27 g,24 g,2 g,0.0 mcg,10 mg,0.3 mg,70 mg,,,,,,,,,,,,,,,,,,,,,
Boozy Bottles,$3.99,2.86 Oz,27 g,130.0,127.0,7 g,4.0 g,0 g,0 mg,0 mg,15 g,2 g,13 g,13 g,1 g,0.8 mcg,10 mg,6.2 mg,90 mg,,,,,,,,,,,,,,,,,,,,,
A Trio of Chocolate Boules,$4.99,5.63 Oz,36 g,200.0,197.0,13 g,8 g,0 g,10mg,15 mg,18 g,2 g,17 g,12 g,2 g,0.5 mcg,50 mg,1.7 mg,170 mg,,,,,,,,,,,,,,,,,,,,,
Jingly Jangly,$1.49,2.95 Oz,28 g,430.0,434.0,22 g,13 g,0 g,10mg mg,150 mg,55 g,4 g,41 g,38 g,4 g,0.0 mcg,30 mg,2.6 mg,180 mg,,,,,,,,,,,,,,,,,,,,,
Balsamic Glazed Bone-In Beef Short Ribs,$11.99,1 Lb,140 g,310.0,312.0,20 g,9 g,1.5 g,85 mg,180 mg,13 g,0 g,11 g,9 g,20 g,0.1 mcg,20 mg,2.6 mg,340 mg,,,,,,,,,,,,,,,,,,,,,
Chocolate Chip Poffertjes,$3.99,11.3 Oz,107 g,1110.0,1096.0,64 g,17 g,0 g,150 mg,870 mg,109 g,10 g,52 g,43 g,21 g,1.6 mcg,510 mg,6.4 mg,580 mg,,,,,,,,,,,,,,,,,,,,,
Manchego Cheese,$14.99,1 Lb,28 g,120.0,118.0,10g,7g,0g,25mg,160mg,0g,0g,0g,0g,7g,,,,,,,,,,,,,,,,,,,,,,,,,
Cotswold Double Gloucester Cheese,$10.99,1 Lb,28 g,110.0,113.0,9g,6g,0g,25mg,160mg,2g,2g,0g,0g,6g,,,,,,,,,,,,,,,,,,,,,,,,,
Strained Thick & Creamy Greek Yogurt Plain,$5.49,32 Oz,170 g,170.0,169.0,9 g,6 g,0 g,35 mg,60 mg,7 g,2g,6 g,0 g,15 g,0.0 mcg,170 mg,0.2 mg,230 mg,,,,,,,,,,,,,,,,,,,,,
Three Chilis For Your Consideration,$7.99,6.17 Oz,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peppercorn Passport,$7.99,4.94 Oz,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uncured Bacon Wrapped Scallops,$9.99,8 Oz,85 g,900.0,905.0,81 g,31 g,0 g,150 mg,1590 mg,9 g,0 g,2 g,2 g,35 g,1.1 mcg,20 mg,1.1 mg,670 mg,,,,,,,,,,,,,,,,,,,,,
Crispy Shiitake Mushrooms,$4.99,10.58 Oz,75 g,150.0,149.0,9 g,1.5 g,0 g,0 mg,230 mg,15 g,2 g,1 g,0 g,2 g,0.8 mcg,0 mg,0.5 mg,130 mg,,,,,,,,,,,,,,,,,,,,,
Vanilla & Cream Yogurt,$2.69,16 Oz,113 g,140.0,146.0,6 g,3.5 g,0 g,20 mg,50 mg,19 g,0 g,16 g,13 g,4 g,0.1 mcg,110 mg,0.0 mg,140 mg,,,,,,,,,,,,,,,,,,,,,
Raspberries & Cream Yogurt,$2.69,16 Oz,113 g,140.0,142.0,6 g,3.5 g,0 g,20 mg,50 mg,18 g,0 g,15 g,12 g,4 g,0.1 mcg,110 mg,0.2 mg,150 mg,,,,,,,,,,,,,,,,,,,,,
Meyer Lemon & Cream Yogurt,$2.69,16 Oz,113 g,140.0,142.0,6 g,3.5 g,0 g,20 mg,60 mg,18 g,0 g,15 g,11 g,4 g,0.1 mcg,110 mg,0.1 mg,150 mg,,,,,,,,,,,,,,,,,,,,,
Blueberries & Cream Yogurt,$2.69,16 Oz,113 g,140.0,146.0,6 g,3.5 g,0 g,20 mg,50 mg,19 g,0 g,16 g,12 g,4 g,0.1 mcg,110 mg,0.1 mg,160 mg,,,,,,,,,,,,,,,,,,,,,
Cherry Tomatoes on the Vine,$4.99,12 Oz,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mini Brioche Bites,$4.99,6.8 Oz,96 g,640.0,647.0,27 g,17 g,0.5 g,135 mg,780 mg,86 g,4 g,29 g,10 g,15 g,1.7 mcg,150 mg,1.3 mg,320 mg,,,,,,,,,,,,,,,,,,,,,
Freeze Dried Mangosteen,$2.99,1.51 Oz,43 g,170.0,172.5,0.5 g,0 g,0 g,0 mg,0 mg,41 g,3 g,32 g,0 g,1 g,0.0 mcg,20 mg,0.3 mg,170 mg,,,,,,,,,,,,,,,,,,,,,
Double Cream Brie,$9.99,16 Oz,28 g,110.0,110.0,10 g,6 g,0 g,25 mg,200 mg,0 g,0 g,0 g,0 g,5 g,0.0 mcg,130 mg,0.0 mg,30 mg,,,,,,,,,,,,,,,,,,,,,
Cassata Baked Ricotta Cheese,$4.99,6.35 Oz,28 g,60.0,58.0,2.0 g,1.5 g,0 g,10 mg,60 mg,8 g,0 g,6 g,4 g,2 g,0.0 mcg,90 mg,0.3 mg,40 mg,,,,,,,,,,,,,,,,,,,,,
Organic Pomegranate,$3.49,1 Each,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cranberry Ginger Chutney,$2.49,8 Oz,20 g,30.0,32.0,0 g,0 g,0 g,0 mg,45 mg,8 g,0 g,7 g,7 g,0 g,0.0 mcg,0 mg,0.1 mg,10 mg,,,,,,,,,,,,,,,,,,,,,
Herb Seasoned Brined Bone In Half Turkey,$4.99,1 Lb,112 g,170.0,160.0,8 g,2.5 g,0 g,70 mg,660 mg,2 g,0 g,2g,0 g,20 g,0.3 mcg,30 mg,1.2 mg,240 mg,,,,,,,,,,,,,,,,,,,,,
,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soppressata Uncured Salami,$5.49,8 Oz,28 g,110.0,108.0,8 g,3.0 g,0 g,25 mg,460 mg,2 g,0 g,0 g,0 g,7 g,0.3 mcg,0 mg,0.4 mg,140 mg,,,,,,,,,,,,,,,,,,,,,
Hickory Road Smokehouse Uncured Carver Ham,$5.99,1 Lb,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frick's Uncured Carver Ham,$5.99,1 Lb,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perfect Bar Chocolate Mint,$2.29,2.3 Oz,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organic Fuyu Persimmons,$3.99,1 Each,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cut Sweet Potatoes,$5.49,2 Lb,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jumbo Pomegranate,$2.99,1 Each,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egg Nog Whole Milk Greek Yogurt,$0.99,5.3 Oz,150 g/,180.0,179.0,7 g,4.0 g,0 g,80 mg,60 mg,18 g,0 g,15 g,12 g,11 g,0.0 mcg,140 mg,0.3 mg,160 mg,,,,,,,,,,,,,,,,,,,,,
Triple Creme Brie with Calvados Apple Brandy,$12.99,1 Lb,28 g,120.0,124.0,12g,8g,0g,35mg,170mg,0g,0g,0g,0g,4g,,,,,,,,,,,,,,,,,,,,,,,,,
Chocolatey Caramel Pretzel Drumstick Decorating Kit,$4.99,9.88 Oz,31 g,130.0,124.5,4.5 g,3.5 g,0 g,10 mg,130 mg,20 g,2 g,11 g,10 g,1 g,0.0 mcg,20 mg,0.6 mg,60 mg,,,,,,,,,,,,,,,,,,,,,
Hot Chocolate Stirring Spoon,$0.99,1.16 Oz,33 g,170.0,178.0,10 g,6 g,0 g,0 mg,10 mg,20 g,2 g,17 g,16 g,2 g,0.3 mcg,30 mg,1.8 mg,130 mg,,,,,,,,,,,,,,,,,,,,,
Vegetable Root Chips,$2.99,7.5 Oz,28 g,140.0,147.0,7 g,0.5 g,0 g,0 mg,85 mg,19 g,2 g,2 g,0 g,2g,0.0 mcg,30 mg,0.3 mg,280 mg,,,,,,,,,,,,,,,,,,,,,
Pink Lady Apple Chips,$2.29,2.5 Oz,28 g,370.0,374.0,18 g,1.5 g,0 g,0 mg,0 mg,51 g,6 g,31 g,24 g,2 g,0.1 mcg,20 mg,0.6 mg,240 mg,,,,,,,,,,,,,,,,,,,,,
Pizza Ranch Salad Kit,$3.99,11.62 Oz,100 g,80.0,201.0,17 g,3.5 g,0 g,20 mg,350 mg,6 g,2 g,2 g,0 g,6 g,0.1 mcg,160 mg,0.8 mg,210 mg,,,,,,,,,,,,,,,,,,,,,
Spicy Farfalle Pasta with Italian Chicken Sausage,$3.49,12 Oz,340 g,420.0,415.0,15 g,4.5 g,0 g,40 mg,940 mg,48 g,6 g,12 g,2 g,22 g,0.1 mcg,210 mg,4.2 mg,820 mg,,,,,,,,,,,,,,,,,,,,,
Cheesy Creamy Greens & Veggies,$4.49,16 Oz,112 g/,200.0,204.0,16 g,5 g,0 g,20 mg,400 mg,10 g,3 g,2 g,0 g,5 g,0.0 mcg,200 mg,0.8 mg,280 mg,,,,,,,,,,,,,,,,,,,,,
White Queso Dip,$3.99,10 Oz,28 g,70.0,70.0,6 g,3.5 g,0 g,15 mg,160 mg,1 g,0 g,0 g,0 g,3 g,0.1 mcg,100 mg,0.1 mg,20 mg,,,,,,,,,,,,,,,,,,,,,
Gluten Free Turkey Gravy,$3.99,16 Oz,60 g,50.0,52.0,4.0 g,1.0 g,0 g,10 mg,280 mg,4 g,0 g,2g,0 g,0 g,0.0 mcg,0 mg,0.1 mg,10 mg,,,,,,,,,,,,,,,,,,,,,
Very Berry Granola,$3.99,12 Oz,60 g,130.0,263.0,7 g,1.0 g,0 g,0 mg,75 mg,45 g,4 g,16 g,14 g,5 g,0.0 mcg,20 mg,1.7 mg,150 mg,,,,,,,,,,,,,,,,,,,,,
Dinner Rolls,$2.99,12 Oz,43 g,120.0,127.0,3.0 g,0 g,0 g,0 mg,190 mg,21 g,2g,2 g,2 g,4 g,0.0 mcg,10 mg,1.3 mg,70 mg,,,,,,,,,,,,,,,,,,,,,
Solid White Albacore Tuna in Water Sea Salt Added,$1.99,4.5 Oz,113 g,130.0,125.0,1.0 g,0 g,0 g,40 mg,360 mg,0 g,0 g,0 g,0 g,29 g,1.2 mcg,0 mg,1.1 mg,280 mg,,,,,,,,,,,,,,,,,,,,,
Solid White Albacore Tuna in Water No Salt Added,$1.99,4.5 Oz,113 g,130.0,125.0,1.0 g,0 g,0 g,40 mg,70 mg,0 g,0 g,0 g,0 g,29 g,1.2 mcg,0 mg,1.1 mg,280 mg,,,,,,,,,,,,,,,,,,,,,
Sweet Chili Sauce,$1.69,10.1 Fl Oz,15 ml,20.0,20.0,0 g,0 g,0 g,0 mg,125 mg,5 g,3 g,5 g,5 g,0 g,0.0 mcg,2 mg,0 mg,5 mg,,,,,,,,,,,,,,,,,,,,,
Organic Peeled & Cooked Chestnuts,$4.99,6.5 Oz,31 g,40.0,44.0,0 g,0 g,0 g,0 mg,10 mg,9 g,2 g,3 g,0 g,2 g,0 mcg,10 mg,0.5 mg,220 mg,,,,,,,,,,,,,,,,,,,,,
Organic Virgin Coconut Oil,$4.99,16 Fl Oz,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butter with Brown Sugar & Maple Syrup,$2.99,4 Oz,14 g,80.0,88.0,8 g,5.0 g,0 g,20 mg,65 mg,4 g,0 g,4 g,4 g,0 g,0.0 mcg,0 mg,0.0 mg,10 mg,,,,,,,,,,,,,,,,,,,,,
Walnut Gouda Cheese,$5.49,6 Oz,28 g,110.0,122.0,10 g,7 g,0 g,25 mg,230 mg,2g,2g,0 g,0 g,6 g,0.0 mcg,210 mg,0.0 mg,20 mg,,,,,,,,,,,,,,,,,,,,,
Organic Fig & Honey Batard,$4.99,11.64 Oz,56 g/ about,140.0,140.5,0.5 g,0 g,0 g,0 mg,200 mg,31 g,3 g,7 g,2 g,3 g,0.0 mcg,30 mg,0.6 mg,150 mg,,,,,,,,,,,,,,,,,,,,,
Organic Turkey Bone Broth,$3.49,17 Fl Oz,240 mL,100.0,100.0,0 g,0 g,0 g,10 mg,660 mg,1 g,0 g,2 g,0 g,24 g,0.0 mcg,20 mg,0.1 mg,350 mg,,,,,,,,,,,,,,,,,,,,,
Teriyaki Chicken Bowl,$4.79,11.25 Oz,319 g,370.0,371.5,3.5 g,0.5 g,0 g,45 mg,880 mg,67 g,2 g,21 g,19 g,18 g,0.0 mcg,50 mg,1.5 mg,300 mg,,,,,,,,,,,,,,,,,,,,,
Roti with Thai Red Curry,$4.29,10.57 Oz,300 g,830.0,833.0,53 g,18 g,0 g,0 mg,670 mg,78 g,5 g,9 g,8 g,11 g,0.0 mcg,40 mg,1.6 mg,480 mg,,,,,,,,,,,,,,,,,,,,,
Sourdough Boules,$2.99,14 Oz,56 g,120.0,116.5,0.5 g,0 g,0 g,0 mg,310 mg,24 g,2g,0 g,0 g,4 g,0.0 mcg,10 mg,1.5 mg,40 mg,,,,,,,,,,,,,,,,,,,,,
Rainbow's End Trail Mix Bars,$4.99,1.41 Oz,40 g,200.0,213.0,13 g,2.5 g,0 g,0 mg,95 mg,18 g,2 g,12 g,10 g,6 g,0.0 mcg,40 mg,1.0 mg,180 mg,,,,,,,,,,,,,,,,,,,,,
Mushroom Risotto,$3.79,16 Oz,140 g,160.0,161.0,5.0 g,1.5 g,0 g,10 mg,460 mg,26 g,2 g,2 g,0 g,3 g,0.0 mcg,40 mg,0.2 mg,100 mg,,,,,,,,,,,,,,,,,,,,,
Organic Tuscan Kale,$2.79,10 Oz,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fully Cooked Uncured Bacon,$6.99,3.25 Oz,18 g,100.0,91.0,7 g,2.5 g,0 g,20 mg,470 mg,0 g,0 g,0 g,0 g Added Sugar,7 g,0.0 mcg,1 mg,0.1 mg,25 mg,,,,,,,,,,,,,,,,,,,,,
Sea Salt Chocolate Chunk Cookies,$4.99,10.58 Oz,50 g,210.0,221.0,9 g,5.0 g,0 g,25 mg,180 mg,32 g,2 g,20 g,20 g,3 g,0.7 mcg,20 mg,1.3 mg,30 mg,,,,,,,,,,,,,,,,,,,,,
Gluten Free Chocolate Chunk Cookies,$4.99,10.58 Oz,50 g,220.0,223.0,11 g,6 g,0 g,30 mg,210 mg,29 g,1 g,16 g,16 g,2 g,0.8 mcg,30 mg,1.4 mg,100 mg,,,,,,,,,,,,,,,,,,,,,
Nuts About Elote Mix,$4.49,9 Oz,27 g,140.0,140.0,8 g,1.0 g,0 g,0 mg,300 mg,14 g,1 g,2 g,0 g,3 g,0.0 mcg,10 mg,1.1 mg,100 mg,,,,,,,,,,,,,,,,,,,,,
Cinnamon Sugar Cashews,$4.99,10 Oz,30 g,180.0,172.0,12 g,2.0 g,0 g,0 mg,55 mg,11 g,1 g,5 g,4 g,5 g,0.0 mcg,20 mg,1.5 mg,160 mg,,,,,,,,,,,,,,,,,,,,,
"Thick, Bold & Spicy Red Sauce",$3.99,16 Oz,64 g,100.0,108.0,8 g,1.0 g,0 g,0 mg,470 mg,8 g,1 g,5 g,2 g,1 g,0.0 mcg,20 mg,0.6 mg,270 mg,,,,,,,,,,,,,,,,,,,,,
Halloween Sprinkle,$1.99,3.5 Oz,4 g,15.0,16.0,0 g,0 g,0 g,0 mg,0 mg,4 g,0 g,4 g,4 g,0 g,0.0 mcg,0 mg,0.0 mg,0 mg,,,,,,,,,,,,,,,,,,,,,
Enchilada Sauce,$4.49,24 Oz,60 g,30.0,32.5,0.5 g,0 g,0 g,0 mg,420 mg,5 g,2g,2 g,2 g,2g,0.0 mcg,10 mg,0.3 mg,150 mg,,,,,,,,,,,,,,,,,,,,,
Thai Style Peanut Dressing,$3.99,12 Fl Oz,30 mL,120.0,115.0,7 g,1.0 g,0 g,0 mg,220 mg,11 g,2g,10 g,9 g,2 g,0.0 mcg,10 mg,0.4 mg,90 mg,,,,,,,,,,,,,,,,,,,,,
Coffee Panna Cotta,$3.49,7.04 Oz,100 g,230.0,235.0,15 g,10 g,0 g,90 mg,200 mg,22 g,0 g,19 g,17 g,3 g,5.1 mcg,100 mg,0.0 mg,140 mg,,,,,,,,,,,,,,,,,,,,,
Red Leicester Cheese,$4.99,6.3 Oz,28 g,110.0,113.0,9 g,6 g,0 g,30 mg,220 mg,2 g,0 g,0 g,0 g,6 g,0.1 mcg,200 mg,0.1 mg,20 mg,,,,,,,,,,,,,,,,,,,,,
Gluten Free Baguette,$4.99,10 Oz,56 g/,120.0,124.0,4.0 g,0 g,0 g,0 mg,220 mg,20 g,1 g,0 g,0 g,2 g,0.0 mcg,10 mg,0.8 mg,10 mg,,,,,,,,,,,,,,,,,,,,,
Wheat Crisp Crackers,$2.49,9 Oz,30 g,120.0,128.0,4.0 g,0 g,0 g,0 mg,210 mg,21 g,2 g,4 g,4 g,2 g,0.0 mcg,10 mg,0.9 mg,20 mg,,,,,,,,,,,,,,,,,,,,,
Organic Coconut Crunchy Clusters,$2.99,5.3 Oz,35 g,210.0,216.0,16 g,14 g,0 g,0 mg,80 mg,15 g,3 g,10 g,7 g,3 g,0.0 mcg,20 mg,0.8 mg,190 mg,,,,,,,,,,,,,,,,,,,,,
Hoisin Sauce,$1.99,10.23 Oz,36 g,90.0,93.0,1.0 g,0 g,0 g,0 mg,860 mg,19 g,0 g,17 g,15 g,2 g,0.0 mcg,40 mg,0.4 mg,90 mg,,,,,,,,,,,,,,,,,,,,,
Chile Lime Flavored Fried Pork Rinds,$2.49,3 Oz,14 g,70.0,72.0,4.0 g,1.5 g,0 g,15 mg,330 mg,0 g,0 g,0 g,0 g,9 g,0.0 mcg,10 mg,0.2 mg,30 mg,,,,,,,,,,,,,,,,,,,,,
Organic Farfalline Pasta,$1.99,1 Lb,56 g,200.0,192.5,0.5 g,0 g,0 g,0 mg,0 mg,40 g,2 g,1 g,0 g,7 g,0.0 mcg,10 mg,0.6 mg,140 mg,,,,,,,,,,,,,,,,,,,,,
Sugar Bee® Apples,$4.49,2 Lb,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caesar Broccoli Bake Kit,$4.99,14.15 Oz,100 g,170.0,178.0,14 g,2.5 g,0 g,15 mg,350 mg,9 g,2 g,2 g,0 g,4 g,0.1 mcg,80 mg,0.7 mg,240 mg,,,,,,,,,,,,,,,,,,,,,
Limone Premuto Extra Virgin Olive Oil,$7.99,8.45 Fl Oz,15 mL,120.0,117.0,13 g,2.0 g,0 g,0 mg,0 mg,0 g,0 g,0 g,0 g,0 g,0.0 mcg,0 mg,0.0 mg,0 mg,,,,,,,,,,,,,,,,,,,,,
Bourbon Vanilla Beans,$2.99,1 Each,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Almond Paste,$3.99,7 Oz,39 g,180.0,180.0,8 g,0.5 g,0 g,0 mg,0 mg,24 g,2 g,20 g,20 g,3 g,0.0 mcg,40 mg,0.7 mg,110 mg,,,,,,,,,,,,,,,,,,,,,
Double Fold Alcohol Free Bourbon Vanilla Flavoring,$7.99,3.55 Fl Oz,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile Seasoned Dried Mango,$2.99,6 Oz,39 g,130.0,132.0,0 g,0 g,0 g,0 mg,120 mg,31 g,3 g,16 g,0 g,2g,0.0 mcg,40 mg,0.5 mg,260 mg,,,,,,,,,,,,,,,,,,,,,
Dark Chocolate Chips No Sugar Added,$3.99,8 Oz,30 g,120.0,171.0,11 g,7 g,0 g,0 mg,0 mg,16 g,2 g,0 g,0 g,2 g,0.0 mcg,20 mg,0.3 mg,110 mg,,,,,,,,,,,,,,,,,,,,,
Barebells Pumpkin Spice Protein Bar,$2.29,1.94 Oz,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organic Pasture Raised Large Brown Eggs,$6.99,1 Doz,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delicata Squash,$1.49,1 Each,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organic Maple Butter,$4.99,7 Oz,40 g,130.0,136.0,0 g,0 g,0 g,0 mg,0 mg,34 g,0 g,33 g,33 g,0 g,0.0 mcg,40 mg,0.2 mg,100 mg,,,,,,,,,,,,,,,,,,,,,
Pumpkin & Spice Snickerdoodle Cookie Mix,$3.99,17.57 Oz,23 g,120.0,129.0,5.0 g,3.0 g,0 g,20 mg,85 mg,19 g,0 g,11 g,11 g,2 g,0.1 mcg,10 mg,0.6 mg,60 mg,,,,,,,,,,,,,,,,,,,,,
Chicken Uncured Bacon Ranch Dip,$4.99,12 Oz,31 g,90.0,88.0,8 g,3.0 g,0 g,20 mg,180 mg,1 g,0 g,2g,0 g,3 g,0.1 mcg,50 mg,0.1 mg,80 mg,,,,,,,,,,,,,,,,,,,,,
Sweet Chili Mango Complete Salad Kit,$3.99,11.25 Oz,100 g,70.0,138.0,6 g,0.5 g,0 g,0 mg,240 mg,18 g,3 g,9 g,6 g,3 g,0.0 mcg,50 mg,1.2 mg,280 mg,,,,,,,,,,,,,,,,,,,,,
Spaghetti Squash,$2.49,1 Each,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugar Bee® Apple,$1.29,1 Each,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 Minute Farro,$1.99,8.8 Oz,45 g,170.0,165.0,1.0 g,0 g,0 g,10 mg,0 mg,34 g,2 g,0 g,0 g,5 g,0.0 mcg,10 mg,2 mg,170 mg,,,,,,,,,,,,,,,,,,,,,
Savory Squash Pastry Bites,$5.49,9 Oz,85 g,660.0,666.0,42 g,25 g,1.5 g,115 mg,830 mg,56 g,4 g,5 g,3 g,16 g,0.1 mcg,220 mg,4.4 mg,210 mg,,,,,,,,,,,,,,,,,,,,,
All Butter Apple Shortbread Cookies,$3.49,4.93 Oz,28 g,140.0,138.0,6 g,4.0 g,0 g,15 mg,60 mg,19 g,0 g,8 g,6 g,2 g,0.1 mcg,0 mg,0.0 mg,10 mg,,,,,,,,,,,,,,,,,,,,,
Caramelized Onion Goat's Milk Cheese,$2.99,4 Oz,28 g,70.0,76.5,4.5 g,3.0 g,0 g,0 mg,0 mg,5 g,0 g,4 g,3 g,4 g,,,,,,,,,,,,,,,,,,,,,,,,,
